row,gtap_code,price_effect,share,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2,pdr,1.55,2.5603904481516453e-6,1,2,3,4,5,6,7,8,9,10
3,wht,1.12,1.5558846853295399e-4,1.6959247648902822,1.1797090051120724,1.300859222982575,1.2943928817979597,1.2358646949728371,1.1763026409707351,1.1033124306533855,1.0083049181013743,1.0284737181797607,0.7822613660252935
4,gro,1.61,1.591902311515276e-4,2.586206896551724,2.0953878995562047,1.9327051312883972,1.9559714658280278,1.836563869421786,1.614561027837259,1.6156982035330931,1.3722988096981361,1.3419612247806008,0.9415904137022981
5,v_f,1.54,0.0037756630578797685,1.2225705329153604,0.9550025279478681,1.0122652441024071,0.9683976374932883,0.8797124521984605,0.860813704496788,0.8676897759714759,0.7384473777796373,0.6915165586783233,0.5266710187100986
6,osd,0.28,1.726181033501715e-5,2.122257053291536,1.4999157350710635,1.5391678873608956,1.484237171128327,1.5214429910223375,1.3447537473233404,1.3202348746462544,1.2781624584231115,1.1634242223581972,0.9161420241427766
7,c_b,0.05,2.919117021399001e-5,4.918495297805642,3.8452895904724453,3.874155534664072,3.7777095957658973,3.681334011718558,3.473233404710921,3.2675501477316646,3.2110955379369495,2.977293110818672,2.2571615087575654
8,pfb,1.18,5.38809746691672e-4,5.056426332288401,4.297511375765406,4.903911322941035,4.9838919996931805,4.799028377291601,5.057815845824411,4.9705160011469465,5.519528063092275,5.53967628643035,4.969074674426581
9,ocr,3.6,5.115919557088798e-4,1.9717868338557993,1.5785630020785348,1.484509936815409,1.3404157398174426,1.4475865351474668,1.2833690221270522,1.3264682782092678,1.3325523502709036,1.3143005624334678,1.002445258301154
10,ctl,0.94,2.637021889437437e-4,25.727272727272727,26.09403966069322,23.723736854762894,22.14082994553962,21.641582825912128,20.70092790863669,19.040554523580965,18.413070309394808,17.344911695430962,18.660861483309176
11,oap,1.25,8.579879884106282e-4,8.206896551724139,9.153980113476772,8.323312709066661,7.996471580885173,7.1985425659374025,6.646680942184155,6.339371423584706,5.663870468380646,4.975566414926699,3.812832627048319
12,rmk,1.57,1.9362732118535837e-4,3.5141065830721003,3.7132745351384755,3.8479197184022387,3.796885786607348,3.5418273728438017,3.804425410421128,3.97317143106479,3.8282116185176664,3.729160205527103,3.8853052147069564
13,wol,6.6,3.74948062999544e-5,1.5172413793103448,1.345430032020673,1.469205710662673,1.3576743115747487,1.0996405652480756,1.1291934332619558,1.0771321356887287,1.0679246072422233,0.9396243179132125,0.7590258799057303
14,frs,1.72,4.45462269031501e-5,2.802507836990596,2.9942138082130216,3.1439253153763747,3.1890005369333436,2.8689129970949794,3.336188436830835,3.641554361512473,3.2288768487333432,3.4760232349563718,3.188240631120061
15,fsh,3.07,3.3342252145657274e-4,3.2163009404388716,2.384697488905118,2.606091082008789,2.4986576666410985,2.1812273301711826,2.7865810135617415,2.868612319698802,2.7948036734096187,2.522149484924939,2.6366744487104303
16,coa,0.47,1.2158605974192707e-6,14.774294670846395,14.372788045615415,16.224666039922166,15.732146966326608,18.7989299020171,17.651677373304782,18.419707528704823,17.83256280986549,18.126954058154446,15.997078967459254
17,oil,0.38,7.811793546154577e-9,8.655172413793103,12.086399640469637,9.757537331380222,10.029147810079007,9.05644274483415,8.548179871520343,8.214379215339159,7.7704328180239735,6.875770097985801,6.11646510804501
18,gas,0.8,4.598968110100061e-6,4.598746081504702,3.9941576315937306,4.9935503618356325,4.188080079772954,3.945575998293095,4.329764453961456,4.206300724321494,4.566658996297304,5.025020326395816,5.418294072738136
19,oxt,1.01,1.9565162730140516e-5,2.61928541512291,1.1496088136675715,1.015705400689069,1.2502876428626217,1.4607165717474437,1.8087080656673804,1.1469462555944796,1.4978139447315022,1.7308869014190758,4.124852012082453
20,cmt,1.32,0.005482903045887641,1.1849529780564263,1.3426212010561205,1.6200616541682153,1.4650638617580767,1.8447701422967717,1.5060670949321913,1.3838155909889918,1.4957220258142794,1.5196600253136971,1.3266356122550593
21,omt,1.41,0.004378222147619227,1.4231974921630095,2.7133307117577665,4.36607708957345,6.19199202270461,7.835349341036288,10.152748037116346,12.370812711156546,14.461435474760998,16.28207169978961,18.67303245222895
